Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280_OD315,Proline,class,confidence(T1),confidence(T2),confidence(T3),prediction(class)
13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,T1,0.9999798877539866,2.0112246013267002E-5,2.4782082095559517E-32,T1
14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,T1,0.9999999999311744,6.88256825686013E-11,3.754776359059953E-33,T1
14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,T1,1.0,2.7289252856881773E-19,1.0831744609003708E-62,T1
14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,T1,0.999999999999106,8.93868161440075E-13,2.5020652913643905E-36,T1
13.83,1.57,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,T1,0.9999999995846103,4.153898270015537E-10,7.659400764539024E-36,T1
14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,T1,1.0,9.562626511500709E-23,4.874061668231578E-64,T1
12.85,1.6,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015.0,T1,0.997344206629366,0.002655793370634032,6.733598798218437E-25,T1
13.05,2.05,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830.0,T1,0.0020897204706387075,0.9979102795293613,3.442961296238177E-26,T2
14.02,1.68,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,T1,0.9999997616721163,2.3832788374981793E-7,5.055927626138725E-28,T1
13.05,1.65,2.55,18.0,98.0,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105.0,T1,0.999658195869813,3.418041301870641E-4,2.147452778020663E-19,T1
14.22,3.99,2.51,13.2,128.0,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760.0,T1,0.9999957727476114,4.227252388650541E-6,9.288959296470702E-34,T1
13.88,1.89,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095.0,T1,0.9999999980747938,1.9252062596368327E-9,9.856695560342805E-46,T1
13.05,1.77,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885.0,T1,0.9999454273095556,5.4572690444354405E-5,2.335784876833008E-31,T1
13.83,1.65,2.6,17.2,94.0,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265.0,T1,0.9999999999659492,3.4050849908026364E-11,4.1998519334525623E-41,T1
13.82,1.75,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190.0,T1,0.9999999999966884,3.3114720794512005E-12,3.797817658208313E-52,T1
13.77,1.9,2.68,17.1,115.0,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375.0,T1,0.999999999999821,1.7886242162972082E-13,1.8987915069397412E-36,T1
13.74,1.67,2.25,16.4,118.0,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060.0,T1,0.9999999938139992,6.1860008409606036E-9,3.190029993095877E-30,T1
13.72,1.43,2.5,16.7,108.0,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285.0,T1,0.9999999999992477,7.522114066068355E-13,8.943991697016573E-47,T1
12.64,1.36,2.02,16.8,100.0,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450.0,T2,4.497878823410833E-13,0.748236295072111,0.2517637049274394,T2
12.17,1.45,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355.0,T2,1.1632978666286434E-13,0.9999999999998495,3.414183729308777E-14,T2
13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,T2,0.25191391186735435,0.7480860881326457,2.047905615832039E-35,T2
12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510.0,T2,1.0088960366575978E-7,0.9999998991103964,2.4277496777712582E-18,T2
13.34,0.94,2.36,17.0,110.0,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750.0,T2,1.7144912046528095E-10,0.9971743170999201,0.002825682728630831,T2
12.99,1.67,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985.0,T2,0.001303133290569852,0.9986968667094303,2.609249185497691E-38,T2
11.66,1.88,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428.0,T2,4.991753481844608E-15,0.9999999999524207,4.75742800145921E-11,T2
12.08,1.13,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630.0,T2,9.005337350071076E-14,0.9999999999994447,4.652908409342279E-13,T2
12.67,0.98,2.24,18.0,99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0,T2,1.5926556857110629E-6,0.9999984073443143,1.9336673235403187E-17,T2
11.65,1.67,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562.0,T2,2.2159937533153706E-15,0.9999999999999978,1.482907020571229E-17,T2
12.69,1.53,2.26,20.7,80.0,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495.0,T2,1.356728075518852E-17,0.9983612762781422,0.0016387237218577439,T2
12.29,2.83,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290.0,T2,1.2515005518053242E-6,0.9999987484994481,2.291173254050385E-22,T2
12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406.0,T2,2.453837259033098E-7,0.999999754616274,1.3826900476483364E-34,T2
12.42,2.55,2.27,22.0,90.0,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315.0,T2,1.6996003800031309E-16,0.9999999999841638,1.583590986477246E-11,T2
12.22,1.29,1.94,19.0,92.0,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312.0,T2,3.5375078055855067E-9,0.9999999964624922,9.899570499202623E-17,T2
11.61,1.35,2.7,20.0,94.0,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680.0,T2,5.7912715769670175E-5,0.9999420872842303,6.998390012085966E-29,T2
11.46,3.74,1.82,19.5,107.0,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562.0,T2,5.978350519366477E-10,0.9999999994021649,1.9790493852362048E-28,T2
12.08,1.39,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385.0,T2,2.7254014294498886E-9,0.9999999972745985,2.741400578058157E-17,T2
12.42,1.61,2.19,22.5,108.0,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345.0,T2,6.9630257938433915E-9,0.9999999930369714,2.6495165946335208E-15,T2
12.07,2.16,2.17,21.0,85.0,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378.0,T2,1.1738721129916759E-7,0.9999998826127887,7.731680435522107E-22,T2
12.43,1.53,2.29,21.5,86.0,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352.0,T2,2.48544404491378E-6,0.9999975145559552,1.4275958262128529E-24,T2
12.88,2.99,2.4,20.0,104.0,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530.0,T3,5.3576637379588213E-20,1.6930696100960533E-5,0.9999830693038991,T3
12.6,2.46,2.2,18.5,94.0,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695.0,T3,1.4451860508499504E-27,1.193715147712016E-9,0.9999999988062849,T3
13.52,3.17,2.72,23.5,97.0,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520.0,T3,3.344731562799791E-23,1.900185649533451E-4,0.9998099814350466,T3
13.08,3.9,2.36,21.5,113.0,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550.0,T3,3.0363803642106765E-23,1.9836728365786874E-15,0.999999999999998,T3
12.79,2.67,2.48,22.0,112.0,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480.0,T3,7.198701004963695E-24,8.020608084962059E-19,1.0,T3
13.11,1.9,2.75,25.5,116.0,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425.0,T3,7.535563436497449E-16,1.5514999383474015E-5,0.9999844850006158,T3
12.58,1.29,2.1,20.0,103.0,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640.0,T3,9.056722453198828E-28,5.765137560141247E-10,0.9999999994234863,T3
12.45,3.03,2.64,27.0,97.0,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880.0,T3,5.918708627664978E-28,1.2843221467847047E-9,0.9999999987156778,T3
14.34,1.68,2.7,25.0,98.0,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660.0,T3,1.8779675664377582E-15,8.665194157784783E-24,0.9999999999999982,T3
12.96,3.45,2.35,18.5,106.0,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675.0,T3,2.805057917719334E-23,5.353378620832805E-7,0.9999994646621378,T3
13.45,3.7,2.6,23.0,111.0,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695.0,T3,1.9414456114454934E-22,2.8228407974084135E-20,1.0,T3
13.58,2.58,2.69,24.5,105.0,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750.0,T3,4.0945337043091395E-20,4.2761533180982566E-13,0.9999999999995723,T3
13.4,3.91,2.48,23.0,102.0,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750.0,T3,1.3193367208680875E-22,1.8879236076664213E-11,0.9999999999811207,T3
13.27,4.28,2.26,20.0,120.0,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835.0,T3,1.835371594823411E-26,1.0479321848206481E-19,1.0,T3
